Loan Number,Sent To Closing
2302079778,3/13/2023 12:00:00 AM
2302079779,
2302079782,4/28/2023 12:00:00 AM
2302079784,
2302079786,
2302079790,
2302079792,
2302079796,
2302079798,
2302079799,
2302079800,3/30/2023 12:00:00 AM
2302079801,3/27/2023 12:00:00 AM
2302079802,3/15/2023 12:00:00 AM
2302079806,8/25/2023 12:00:00 AM
2302079809,
2302079810,3/17/2023 12:00:00 AM
2302079812,3/24/2023 12:00:00 AM
2302079814,4/7/2023 12:00:00 AM
2302079815,
2302079817,
2302079820,
2302079821,4/4/2023 12:00:00 AM
2302079822,3/30/2023 12:00:00 AM
2302079823,
2302079824,6/8/2023 12:00:00 AM
2302079826,
2302079829,
2302079830,
2302079831,
2302079834,
2302079836,3/10/2023 12:00:00 AM
2302079837,4/14/2023 12:00:00 AM
2302079838,
2302079841,4/28/2023 12:00:00 AM
2302079843,
2302079845,
2302079846,
2302079848,3/13/2023 12:00:00 AM
2302079849,
2302079851,
2302079854,
2302079855,
2302079857,9/18/2023 12:00:00 AM
2302079859,4/10/2023 12:00:00 AM
2302079861,
2302079863,
2302079865,
2302079866,
2302079868,4/7/2023 12:00:00 AM
2302079869,
2302079872,
2302079877,
2302079878,3/31/2023 12:00:00 AM
2302079880,3/17/2023 12:00:00 AM
2302079881,3/24/2023 12:00:00 AM
2302079882,
2302079883,3/24/2023 12:00:00 AM
2302079885,3/23/2023 12:00:00 AM
2302079887,4/13/2023 12:00:00 AM
2302079890,3/29/2023 12:00:00 AM
2302079891,
2302079893,
2302079894,3/30/2023 12:00:00 AM
2302079895,
2302079897,7/3/2023 12:00:00 AM
2302079898,
2302079899,
2302079901,6/2/2023 12:00:00 AM
2302079904,
2302079907,
2302079908,3/7/2023 12:00:00 AM
2302079909,
2302079910,3/28/2023 12:00:00 AM
2302079912,
2302079913,
2302079914,
2302079915,3/31/2023 12:00:00 AM
2302079919,3/29/2023 12:00:00 AM
2302079921,5/5/2023 12:00:00 AM
2302079922,
2302079925,
2302079927,
2302079928,
2302079929,
2302079932,5/8/2023 12:00:00 AM
2302079933,
2302079935,
2302079936,
2302079937,
2302079939,
2302079940,3/27/2023 12:00:00 AM
2302079942,7/21/2023 12:00:00 AM
2302079943,3/21/2023 12:00:00 AM
2302079944,4/21/2023 12:00:00 AM
2302079948,
2302079949,3/17/2023 12:00:00 AM
2302079950,3/20/2023 12:00:00 AM
2302079951,
2302079952,
2302079953,
2302079957,3/27/2023 12:00:00 AM
2302079959,4/21/2023 12:00:00 AM
2302079960,3/24/2023 12:00:00 AM
2302079962,
2302079963,
2302079966,
2302079969,4/3/2023 12:00:00 AM
2302079970,
2302079976,
2302079977,
2302079978,
2302079981,3/30/2023 12:00:00 AM
2302079982,
2302079984,
2302079985,
2302079988,
2302079989,
2302079990,
2302079991,
2302079992,
2302079993,5/23/2023 12:00:00 AM
2302079994,4/6/2023 12:00:00 AM
2302079995,
2303079997,3/28/2023 12:00:00 AM
2303079999,
2303080002,4/15/2023 12:00:00 AM
2303080006,
2303080007,
2303080011,
2303080013,5/4/2023 12:00:00 AM
2303080014,4/4/2023 12:00:00 AM
2303080016,4/27/2023 12:00:00 AM
2303080017,4/7/2023 12:00:00 AM
2303080022,4/24/2023 12:00:00 AM
2303080023,
2303080027,3/23/2023 12:00:00 AM
2303080029,
2303080030,4/1/2023 12:00:00 AM
2303080031,
2303080032,
2303080033,4/7/2023 12:00:00 AM
2303080034,
2303080036,
2303080037,
2303080039,
2303080041,1/18/2024 12:00:00 AM
2303080044,5/12/2023 12:00:00 AM
2303080046,7/24/2023 12:00:00 AM
2303080047,3/24/2023 12:00:00 AM
2303080050,4/28/2023 12:00:00 AM
2303080051,9/20/2023 12:00:00 AM
2303080052,6/23/2023 12:00:00 AM
2303080053,
2303080054,7/31/2023 12:00:00 AM
2303080055,
2303080058,
2303080059,
2303080064,3/27/2023 12:00:00 AM
2303080065,3/30/2023 12:00:00 AM
2303080068,
2303080069,3/24/2023 12:00:00 AM
2303080071,
2303080072,4/25/2023 12:00:00 AM
2303080074,
2303080075,5/4/2023 12:00:00 AM
2303080077,3/28/2023 12:00:00 AM
2303080079,4/28/2023 12:00:00 AM
2303080080,5/26/2023 12:00:00 AM
2303080081,3/31/2023 12:00:00 AM
2303080082,
2303080083,
2303080084,3/31/2023 12:00:00 AM
2303080086,
2303080087,4/7/2023 12:00:00 AM
2303080089,5/4/2023 12:00:00 AM
2303080090,7/6/2023 12:00:00 AM
2303080092,
2303080093,
2303080094,4/18/2023 12:00:00 AM
2303080096,4/28/2023 12:00:00 AM
2303080097,
2303080102,
2303080104,4/27/2023 12:00:00 AM
2303080105,4/4/2023 12:00:00 AM
2303080106,3/28/2023 12:00:00 AM
2303080107,
2303080108,
2303080109,
2303080110,4/21/2023 12:00:00 AM
2303080111,
2303080112,
2303080113,
2303080116,4/26/2023 12:00:00 AM
2303080117,6/6/2023 12:00:00 AM
2303080118,
2303080119,3/30/2023 12:00:00 AM
2303080122,4/19/2023 12:00:00 AM
2303080123,
2303080125,
2303080126,4/13/2023 12:00:00 AM
2303080127,4/21/2023 12:00:00 AM
2303080129,4/27/2023 12:00:00 AM
2303080131,
2303080133,5/4/2023 12:00:00 AM
2303080136,7/11/2023 12:00:00 AM
2303080140,
2303080141,
2303080142,
2303080146,
2303080147,
2303080148,
2303080151,
2303080153,
2303080154,3/30/2023 12:00:00 AM
2303080157,
2303080158,4/26/2023 12:00:00 AM
2303080159,
2303080160,4/6/2023 12:00:00 AM
2303080163,
2303080164,
2303080166,
2303080167,
2303080169,5/18/2023 12:00:00 AM
2303080170,3/29/2023 12:00:00 AM
2303080173,
2303080174,
2303080175,4/7/2023 12:00:00 AM
2303080177,4/17/2023 12:00:00 AM
2303080178,6/16/2023 12:00:00 AM
2303080179,7/31/2023 12:00:00 AM
2303080184,4/21/2023 12:00:00 AM
2303080186,6/2/2023 12:00:00 AM
2303080187,9/12/2023 12:00:00 AM
2303080189,6/21/2023 12:00:00 AM
2303080190,
2303080191,
2303080193,5/15/2023 12:00:00 AM
2303080194,
2303080195,
2303080196,
2303080197,7/25/2023 12:00:00 AM
2303080199,4/21/2023 12:00:00 AM
2303080200,
2303080201,4/25/2023 12:00:00 AM
2303080203,
2303080204,
2303080206,5/1/2023 12:00:00 AM
2303080208,
2303080209,
2303080211,
2303080213,4/24/2023 12:00:00 AM
2303080215,
2303080216,
2303080219,
2303080223,4/26/2023 12:00:00 AM
2303080225,
2303080226,12/8/2023 12:00:00 AM
2303080229,
2303080231,4/17/2023 12:00:00 AM
2303080232,4/28/2023 12:00:00 AM
2303080233,
2303080234,
2303080237,5/26/2023 12:00:00 AM
2303080239,5/11/2023 12:00:00 AM
2303080240,
2303080242,7/3/2023 12:00:00 AM
2303080244,4/27/2023 12:00:00 AM
2303080246,
2303080250,
2303080251,4/20/2023 12:00:00 AM
2303080255,4/12/2023 12:00:00 AM
2303080256,5/19/2023 12:00:00 AM
2303080258,
2303080262,5/5/2023 12:00:00 AM
2303080263,4/6/2023 12:00:00 AM
2303080266,6/6/2023 12:00:00 AM
2303080267,
2303080268,4/4/2023 12:00:00 AM
2303080272,
2303080273,4/5/2023 12:00:00 AM
2303080274,
2303080277,
2303080278,
2303080280,
2303080283,4/17/2023 12:00:00 AM
2303080284,4/26/2023 12:00:00 AM
2303080285,
2303080294,
2303080296,8/8/2023 12:00:00 AM
2303080301,6/8/2023 12:00:00 AM
2303080302,4/3/2023 12:00:00 AM
2303080303,
2303080305,4/7/2023 12:00:00 AM
2303080308,
2303080309,4/17/2023 12:00:00 AM
2303080311,4/24/2023 12:00:00 AM
2303080313,4/11/2023 12:00:00 AM
2303080317,4/21/2023 12:00:00 AM
2303080319,5/9/2023 12:00:00 AM
2303080320,5/26/2023 12:00:00 AM
2303080323,4/6/2023 12:00:00 AM
2303080324,
2303080325,4/7/2023 12:00:00 AM
2303080329,
2303080332,
2303080333,4/11/2023 12:00:00 AM
2303080334,
2303080336,4/14/2023 12:00:00 AM
2303080337,5/23/2023 12:00:00 AM
2303080338,
2303080339,
2303080340,5/4/2023 12:00:00 AM
2303080341,6/5/2023 12:00:00 AM
2303080342,4/14/2023 12:00:00 AM
2303080343,
2303080344,
2303080346,5/4/2023 12:00:00 AM
2303080347,
2303080348,4/18/2023 12:00:00 AM
2303080349,4/8/2023 12:00:00 AM
2303080350,3/13/2024 12:00:00 AM
2303080351,
2303080354,5/4/2023 12:00:00 AM
2303080355,
2303080357,12/27/2023 12:00:00 AM
2303080358,4/12/2023 12:00:00 AM
2303080359,5/23/2023 12:00:00 AM
2303080361,5/25/2023 12:00:00 AM
2303080363,
2303080364,
2303080365,
2303080366,
2303080367,4/27/2023 12:00:00 AM
2303080370,4/28/2023 12:00:00 AM
2303080371,4/21/2023 12:00:00 AM
2303080372,
2303080373,
2303080374,
2303080375,
2303080378,
2303080379,4/26/2023 12:00:00 AM
2303080380,
2303080382,
2303080383,
2303080384,6/15/2023 12:00:00 AM
2303080386,6/13/2023 12:00:00 AM
2303080387,4/24/2023 12:00:00 AM
2303080389,6/1/2023 12:00:00 AM
2303080391,
2303080392,
2303080393,6/6/2023 12:00:00 AM
2303080394,
2303080398,
2303080401,5/12/2023 12:00:00 AM
2303080402,
2303080403,
2303080404,
2303080407,
2303080408,
2303080409,
2303080410,
2303080411,
2303080412,
2303080413,5/5/2023 12:00:00 AM
2303080414,5/4/2023 12:00:00 AM
2303080415,
2303080417,4/27/2023 12:00:00 AM
2303080418,
2303080419,
2303080421,
2303080422,
2303080424,
2303080425,4/11/2023 12:00:00 AM
2303080426,
2303080427,
2303080430,
2303080431,6/20/2023 12:00:00 AM
2303080432,
2303080433,4/28/2023 12:00:00 AM
2303080434,
2303080437,
2303080438,4/19/2023 12:00:00 AM
2303080439,
2303080440,
2303080441,
2303080442,5/25/2023 12:00:00 AM
2303080443,6/6/2023 12:00:00 AM
2303080446,4/24/2023 12:00:00 AM
2303080448,5/15/2023 12:00:00 AM
2303080449,
2303080451,
2303080452,
2303080453,4/13/2023 12:00:00 AM
2303080454,
2303080456,
2303080457,5/1/2023 12:00:00 AM
2303080458,5/6/2023 12:00:00 AM
2303080459,
2303080461,
2303080465,
2303080468,
2303080469,
2303080473,
2303080474,
2303080475,
2303080476,4/21/2023 12:00:00 AM
2303080477,
2303080478,
2303080481,
2303080482,
2303080484,5/22/2023 12:00:00 AM
2303080485,
2303080487,
2303080488,4/13/2023 12:00:00 AM
2303080489,6/28/2023 12:00:00 AM
2303080490,6/5/2023 12:00:00 AM
2303080491,
2303080492,5/26/2023 12:00:00 AM
2303080493,5/8/2023 12:00:00 AM
2303080494,5/26/2023 12:00:00 AM
2303080496,5/31/2023 12:00:00 AM
2303080498,5/24/2023 12:00:00 AM
2303080499,4/17/2023 12:00:00 AM
2303080500,
2303080504,4/19/2023 12:00:00 AM
2303080508,5/13/2023 12:00:00 AM
2303080512,4/22/2023 12:00:00 AM
2303080514,
2303080516,
2303080517,
2303080521,
2303080524,6/9/2023 12:00:00 AM
2303080525,
2303080526,
2303080527,6/26/2023 12:00:00 AM
2303080528,
2303080529,6/26/2023 12:00:00 AM
2303080530,4/15/2023 12:00:00 AM
2303080531,4/24/2023 12:00:00 AM
2303080532,
2303080534,
2303080535,
2303080536,8/21/2023 12:00:00 AM
2303080537,
2303080538,4/15/2023 12:00:00 AM
2303080539,
2303080541,5/16/2023 12:00:00 AM
2303080542,
2303080543,5/11/2023 12:00:00 AM
2303080544,5/11/2023 12:00:00 AM
2303080545,5/11/2023 12:00:00 AM
2303080546,7/18/2023 12:00:00 AM
2303080547,
2303080549,5/24/2023 12:00:00 AM
2303080550,
2303080551,4/27/2023 12:00:00 AM
2303080553,
2303080554,4/25/2023 12:00:00 AM
2303080557,
2303080559,
2303080561,7/14/2023 12:00:00 AM
2303080562,
2303080565,
2303080566,4/28/2023 12:00:00 AM
2303080571,5/12/2023 12:00:00 AM
2303080572,8/3/2023 12:00:00 AM
2303080573,
2303080574,
2303080577,5/4/2023 12:00:00 AM
2303080578,
2303080579,5/15/2023 12:00:00 AM
2303080581,
2303080584,
2303080586,
2303080588,
2303080589,5/15/2023 12:00:00 AM
2303080594,5/15/2023 12:00:00 AM
2303080596,5/8/2023 12:00:00 AM
2303080598,
2303080600,
2303080601,
2303080603,
2303080604,
2303080608,
2303080609,7/20/2023 12:00:00 AM
2303080610,
2303080612,4/20/2023 12:00:00 AM
2303080613,5/2/2023 12:00:00 AM
2303080614,6/24/2023 12:00:00 AM
2303080615,6/26/2023 12:00:00 AM
2303080616,5/12/2023 12:00:00 AM
2303080617,
2303080620,4/19/2023 12:00:00 AM
2303080624,
2303080626,5/22/2023 12:00:00 AM
2303080627,5/8/2023 12:00:00 AM
2303080631,4/22/2023 12:00:00 AM
2303080632,7/25/2023 12:00:00 AM
2303080633,
2303080636,5/2/2023 12:00:00 AM
2303080637,6/1/2023 12:00:00 AM
2304080638,6/12/2023 12:00:00 AM
2304080639,
2304080640,
2304080641,6/13/2023 12:00:00 AM
2304080642,
2304080643,7/26/2023 12:00:00 AM
2304080644,4/21/2023 12:00:00 AM
2304080645,7/18/2023 12:00:00 AM
2304080655,
2304080659,
2304080660,5/4/2023 12:00:00 AM
2304080662,
2304080664,5/17/2023 12:00:00 AM
2304080665,5/4/2023 12:00:00 AM
2304080666,
2304080667,4/27/2023 12:00:00 AM
2304080668,
2304080670,
2304080671,
2304080672,
2304080674,5/3/2023 12:00:00 AM
2304080675,5/4/2023 12:00:00 AM
2304080676,
2304080677,
