lei,name,legalName,dba,nmls,nmlsNumber,type,dataYear,orig,dollarVol,branches,states,fico,ltv,dti,rate,hmdaRate,rateSource,products,conf,ob_totalOriginatedUnits2025,ob_mergedInsightsFromYear,ob_Conventional_originated,ob_Conventional_approximate,ob_Conventional_hmdaLoanType,ob_Conventional_note,ob_FHA_originated,ob_FHA_approximate,ob_FHA_hmdaLoanType,ob_FHA_note,ob_VA_originated,ob_VA_approximate,ob_VA_hmdaLoanType,ob_VA_note,ob_USDA_originated,ob_USDA_approximate,ob_USDA_hmdaLoanType,ob_USDA_note,ob_Jumbo_originated,ob_Jumbo_approximate,ob_Jumbo_hmdaLoanType,ob_Jumbo_note,ob_HELOC_originated,ob_HELOC_approximate,ob_HELOC_hmdaLoanType,ob_HELOC_note,dec_available,dec_mergedFromReportingYear,dec_totalApplications,dec_deniedApplications,dec_withdrawnApplications,dec_incompleteApplications,dec_approvedNotAccepted,dec_purchasedLoans,dec_denialReasonsSuppressedCount,dec_denialReasonsJson,dec_note
5493000XYE7QL54NMB52,United Community Bank,United Community Bank,,,,IMB,2025,1433,298305000,,15,,,,6.75,,estimated,Conventional|HELOC|FHA|USDA|VA|Jumbo,70,1433,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,1841,182,236,23,6,2,0,{},
549300IJ8KTGYPKLXK63,COMMUNITY MORTGAGE CORPORATION,COMMUNITY MORTGAGE CORPORATION,,,,IMB,2025,1432,430760000,,7,,,,6.75,,estimated,Conventional|FHA|VA|USDA|Jumbo,70,1432,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,true,2024,1925,56,270,1,0,0,0,{},
5493000IIYWBLONJVJ30,ROUNDPOINT MORTGAGE SERVICING LLC,ROUNDPOINT MORTGAGE SERVICING LLC,,,,IMB,2025,1430,440730000,,50,,,,6.75,,estimated,Conventional|FHA|Jumbo,70,1430,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,true,2024,1284,156,226,129,7,0,0,{},
549300LPT41QBMAC7948,"SOUTH CENTRAL BANK, INC.","SOUTH CENTRAL BANK, INC.",,,,IMB,2025,1430,289320000,,10,,,,6.75,,estimated,Conventional|HELOC|Jumbo|FHA|USDA|VA,70,1430,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,1675,129,244,0,2,0,0,{},
5493000GQ5D5YW5QID32,"Mortgage America, Inc.","Mortgage America, Inc.",,,,IMB,2025,1427,402925000,,5,,,,6.75,,estimated,Conventional|FHA|VA|USDA|Jumbo,70,1427,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,true,2024,1965,38,283,6,1,0,0,{},
549300SK3VKN3E1SZ562,"SOUTHEAST MORTGAGE OF GEORGIA, INC.","SOUTHEAST MORTGAGE OF GEORGIA, INC.",,,,IMB,2025,1426,424380000,,9,,,,6.75,,estimated,Conventional|VA|FHA|USDA|Jumbo|HELOC,70,1426,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,2160,54,661,16,0,0,0,{},
549300SNZET0P5BZ3J56,Morton Community Bank,Morton Community Bank,,,,IMB,2025,1426,299110000,,11,,,,6.75,,estimated,Conventional|HELOC|Jumbo,70,1426,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,,,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,1566,149,102,26,23,0,0,{},
549300S4PNXPKYHHRE82,FORUM,FORUM,,,,IMB,2025,1423,243385000,,1,,,,6.75,,estimated,Conventional|HELOC|FHA|Jumbo|VA,70,1423,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,2041,259,389,34,6,0,0,{},
549300P2GEYNMH5OQA71,Washington Trust Bank,Washington Trust Bank,,,,IMB,2025,1422,634270000,,20,,,,6.75,,estimated,Conventional|HELOC|Jumbo|FHA|VA,70,1422,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,1988,411,251,45,17,29,0,{},
5493006HAFES1LQ18W28,River Bank & Trust,River Bank & Trust,,,,IMB,2025,1418,330830000,,8,,,,6.75,,estimated,Conventional|HELOC|Jumbo,70,1418,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,,,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,1507,80,155,1,22,0,0,{},
549300BES7HNVKCDIM50,"American Savings Bank, FSB","American Savings Bank, FSB",,,,IMB,2025,1416,700120000,,1,,,,6.75,,estimated,Conventional|Jumbo|VA|FHA|HELOC,70,1416,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,1879,700,153,0,33,0,0,{},
549300I0HE5X0T5OI648,CALIFORNIA CREDIT UNION,CALIFORNIA CREDIT UNION,,,,IMB,2025,1409,635815000,,1,,,,6.75,,estimated,Conventional|Jumbo|HELOC,70,1409,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,,,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,2636,900,328,167,120,1,0,{},
549300NZWZUYUWEOA562,Elements Financial Federal Credit Union,Elements Financial Federal Credit Union,,,,IMB,2025,1409,363115000,,34,,,,6.75,,estimated,Conventional|Jumbo|FHA|HELOC|VA|USDA,70,1409,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,1838,255,270,0,26,0,0,{},
549300ABEFRFKC9S8368,"CREDIT UNION OF COLORADO, A FEDERAL CREDIT UNION","CREDIT UNION OF COLORADO, A FEDERAL CREDIT UNION",,,,IMB,2025,1405,200185000,,8,,,,6.75,,estimated,Conventional|HELOC|Jumbo,70,1405,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,,,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,2424,422,272,179,60,0,0,{},
254900LEJ4HP6RMWD374,Abound Federal Credit Union,Abound Federal Credit Union,,,,IMB,2025,1405,268275000,,4,,,,6.75,,estimated,Conventional|HELOC|VA|Jumbo,70,1405,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,1680,240,283,21,2,0,0,{},
5493007669OVCSCATP45,TENNESSEE VALLEY FCU,TENNESSEE VALLEY FCU,,,,IMB,2025,1392,282180000,,15,,,,6.75,,estimated,Conventional|HELOC|Jumbo|VA,70,1392,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,2354,592,415,0,31,0,0,{},
549300DNWSJUNAWUM003,"CREDIT UNION MORTGAGE ASSOCIATION, INC.","CREDIT UNION MORTGAGE ASSOCIATION, INC.",,,,IMB,2025,1388,532690000,,46,,,,6.75,,estimated,Conventional|Jumbo|FHA|VA|USDA,70,1388,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,true,2024,1892,152,382,330,31,0,0,{},
549300DAUXQ2DCY4H838,"HARBORONE MORTGAGE, LLC","HARBORONE MORTGAGE, LLC",,,,IMB,2025,1386,648850000,,11,,,,6.75,,estimated,Conventional|Jumbo|FHA|USDA|VA,70,1386,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,true,2024,2207,210,421,9,10,0,0,{},
